# generator=ptxas (offline, host-only - no GPU required)
# ptxas=Cuda compilation tools, release 13.3, V13.3.33
# target=sm_86
# family=optimizer
# Reproducible: identical PTX plus this ptxas version yields these exact cubins.
blueprint-id	entry-point	ptx-sha256	cubin-sha256	cubin-bytes	registers	shared-bytes	max-blocks-per-sm	file
adam-update-f32-v1-n1048576-wd0	aidotnet_fused_adam_update_f32	710363e205c94c1d860fe05c448d51f7edd3986aba6ad655ecff3e41ad634276	6698d36f7d2cffdd1d31d133beebef29e99454d74bfab290a239a49c5bca51d0	8744	34	0	6	6698d36f7d2cffdd1d31d133beebef29e99454d74bfab290a239a49c5bca51d0.cubin
adam-update-f32-v1-n1048576-wd1	aidotnet_fused_adam_update_f32	ef72e6f4f19da7a513e928cc6fd5518d4f2899fd9af811d871caa7804f72f91c	cd7efd1027bbf3c7c8dc241b638f676b8634140c36bcce37dfb56441eb7fc62b	8872	34	0	6	cd7efd1027bbf3c7c8dc241b638f676b8634140c36bcce37dfb56441eb7fc62b.cubin
adam-update-f32-v1-n262144-wd0	aidotnet_fused_adam_update_f32	bf2602199bf08f504ff81ac4bd46a0d5ec7b31ce5f66f290f412ee176254b2a6	6698d36f7d2cffdd1d31d133beebef29e99454d74bfab290a239a49c5bca51d0	8744	34	0	6	6698d36f7d2cffdd1d31d133beebef29e99454d74bfab290a239a49c5bca51d0.cubin
adam-update-f32-v1-n262144-wd1	aidotnet_fused_adam_update_f32	3f1e521fda116b4a1cb56445e1a197239ba0ea8e21c7967535b15e85c3c506d3	cd7efd1027bbf3c7c8dc241b638f676b8634140c36bcce37dfb56441eb7fc62b	8872	34	0	6	cd7efd1027bbf3c7c8dc241b638f676b8634140c36bcce37dfb56441eb7fc62b.cubin
adam-update-f32-v1-n4194304-wd0	aidotnet_fused_adam_update_f32	2360905d27f95f38fd4d1892593eb8945bfed45bcc1a3ea8dd83324403268f5d	6698d36f7d2cffdd1d31d133beebef29e99454d74bfab290a239a49c5bca51d0	8744	34	0	6	6698d36f7d2cffdd1d31d133beebef29e99454d74bfab290a239a49c5bca51d0.cubin
adam-update-f32-v1-n4194304-wd1	aidotnet_fused_adam_update_f32	da5dbfe9853d4a28e0d9b2c10ef118ad94daf5dd105723ce73d2be166cfbe371	cd7efd1027bbf3c7c8dc241b638f676b8634140c36bcce37dfb56441eb7fc62b	8872	34	0	6	cd7efd1027bbf3c7c8dc241b638f676b8634140c36bcce37dfb56441eb7fc62b.cubin
adam-update-f32-v1-n65536-wd0	aidotnet_fused_adam_update_f32	06445bca5c0f6513cc2782a5bf057ad6b254b51eb2566ba05c9ccff7a77aa367	6698d36f7d2cffdd1d31d133beebef29e99454d74bfab290a239a49c5bca51d0	8744	34	0	6	6698d36f7d2cffdd1d31d133beebef29e99454d74bfab290a239a49c5bca51d0.cubin
adam-update-f32-v1-n65536-wd1	aidotnet_fused_adam_update_f32	48bef737ff6eeb152e98d3a9fdab04266ed92c403548465c549c99b190df72d2	cd7efd1027bbf3c7c8dc241b638f676b8634140c36bcce37dfb56441eb7fc62b	8872	34	0	6	cd7efd1027bbf3c7c8dc241b638f676b8634140c36bcce37dfb56441eb7fc62b.cubin
sgd-momentum-f32-v1-n1048576-wd0	aidotnet_fused_sgd_momentum_f32	e4249cd25c00d7bf6f609f104754931b8231b009c13ee2c61825e727fd334eea	37e96f3f1067063c29e870b0b2b8d46fb6b2f917e2cfca7c3485ed89d4b303bd	3752	22	0	10	37e96f3f1067063c29e870b0b2b8d46fb6b2f917e2cfca7c3485ed89d4b303bd.cubin
sgd-momentum-f32-v1-n1048576-wd1	aidotnet_fused_sgd_momentum_f32	e4b9c7099eacf8bc24c0ebf0e995ef6ed8566eb9ed30c07f4f58e75f870e6989	8d4e092a38ef1eced97583cca96a3ea879f2f184196b14f9914ca2b0c869c506	3880	24	0	10	8d4e092a38ef1eced97583cca96a3ea879f2f184196b14f9914ca2b0c869c506.cubin
sgd-momentum-f32-v1-n262144-wd0	aidotnet_fused_sgd_momentum_f32	17c3cb40935ee2ae0cc85f41330b252efa792140215db355d85b1329d7d1c230	37e96f3f1067063c29e870b0b2b8d46fb6b2f917e2cfca7c3485ed89d4b303bd	3752	22	0	10	37e96f3f1067063c29e870b0b2b8d46fb6b2f917e2cfca7c3485ed89d4b303bd.cubin
sgd-momentum-f32-v1-n262144-wd1	aidotnet_fused_sgd_momentum_f32	cbd5080ddd9cb05ae76f7c552805e07c1ee4dc30677587c8f3a52e77f875acd7	8d4e092a38ef1eced97583cca96a3ea879f2f184196b14f9914ca2b0c869c506	3880	24	0	10	8d4e092a38ef1eced97583cca96a3ea879f2f184196b14f9914ca2b0c869c506.cubin
sgd-momentum-f32-v1-n4194304-wd0	aidotnet_fused_sgd_momentum_f32	0e840425b18139fb744513d2a003f0dc7513ac5af1a65eb320a158dafc88b18d	37e96f3f1067063c29e870b0b2b8d46fb6b2f917e2cfca7c3485ed89d4b303bd	3752	22	0	10	37e96f3f1067063c29e870b0b2b8d46fb6b2f917e2cfca7c3485ed89d4b303bd.cubin
sgd-momentum-f32-v1-n4194304-wd1	aidotnet_fused_sgd_momentum_f32	869fbf319284a153c53e545d0140404f3bbca3049025f154068a7477f4e3964b	8d4e092a38ef1eced97583cca96a3ea879f2f184196b14f9914ca2b0c869c506	3880	24	0	10	8d4e092a38ef1eced97583cca96a3ea879f2f184196b14f9914ca2b0c869c506.cubin
sgd-momentum-f32-v1-n65536-wd0	aidotnet_fused_sgd_momentum_f32	fda886c55e71bdd8d2edb326e829af58cb2f9dff7df44f6a6469dc7a5c51903d	37e96f3f1067063c29e870b0b2b8d46fb6b2f917e2cfca7c3485ed89d4b303bd	3752	22	0	10	37e96f3f1067063c29e870b0b2b8d46fb6b2f917e2cfca7c3485ed89d4b303bd.cubin
sgd-momentum-f32-v1-n65536-wd1	aidotnet_fused_sgd_momentum_f32	6980b2a491e61bb0b4e6efa30db8d02d8b036a36b01291b17b0bb462f26d0a16	8d4e092a38ef1eced97583cca96a3ea879f2f184196b14f9914ca2b0c869c506	3880	24	0	10	8d4e092a38ef1eced97583cca96a3ea879f2f184196b14f9914ca2b0c869c506.cubin
